FECHA,IN0470-Control Estrella Entrada,IN0517-Control Caja Compresión Abierta,IN0070-Señal Bloqueo Inversor Motor Principal,Estrellas Enjuagadora,Faltan Corchos en Botellas.x,IN0250-Control Presostato Atascamiento Filtro 1 Campana,IN0577-Control Botella Colgada,IN0294-Control Auto. Bomba Vacío Alto,IN0574-Control Protecciones Delanteras Abiertas,IN0575-Control Protecciones Traseras Abiertas,Mando Manual Habilitado,IN0291-Control Auto. Motor Ajuste Depósito,CIP-Señal de CIP de Alarma,Máquina Desfasada,IN0476-Control Protecciones Laterales Abiertas
2022-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-05,2,0,0,0,0,0,0,0,7,1,0,0,0,0,0
2022-12-06,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2022-12-07,0,0,0,0,0,0,0,0,23,0,0,0,0,28,6
2022-12-09,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3
2022-12-10,3,0,0,0,0,0,0,1,16,0,0,0,0,0,0
2022-12-12,0,1,0,0,0,2,0,0,52,1,0,0,0,0,4
2022-12-13,3,6,0,0,0,0,0,0,43,0,0,0,0,0,2
2022-12-14,3,6,0,0,0,0,0,0,16,0,0,0,0,0,2
2022-12-15,3,7,0,0,0,0,0,0,45,2,0,0,0,0,0
2022-12-16,3,3,0,0,1,0,0,0,6,0,0,0,0,3,0
2022-12-17,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0
2022-12-20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-12-21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2022-12-22,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2022-12-23,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0
2022-12-24,4,3,0,0,0,0,0,0,9,0,0,0,0,0,0
2022-12-26,0,0,0,0,0,0,0,0,11,2,0,0,0,0,4
2022-12-27,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0
2022-12-28,2,2,0,0,0,0,3,0,47,1,0,0,0,0,5
2022-12-29,1,0,1,1,0,0,0,0,14,1,0,0,0,0,0
2022-12-30,0,13,0,0,0,0,0,0,29,1,0,0,0,0,0
2022-12-31,2,2,0,0,0,0,0,0,5,0,0,0,0,0,0
2023-01-03,3,1,0,0,1,0,0,0,24,0,0,0,0,0,1
2023-01-04,0,3,0,0,1,0,3,0,5,0,0,0,0,0,5
2023-01-09,0,0,0,0,0,0,0,0,10,0,0,1,0,10,0
2023-01-10,0,1,0,0,0,0,0,0,18,0,0,0,0,0,1
2023-01-17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2023-01-18,2,0,0,0,0,0,0,0,10,2,0,0,0,0,1
2023-01-19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-20,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0
2023-01-21,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0
2023-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-23,3,0,0,0,0,0,0,0,29,2,4,0,0,0,0
2023-01-24,3,0,0,0,0,1,0,0,23,1,0,0,0,0,4
2023-01-25,0,0,0,0,0,0,0,0,27,0,0,0,0,0,2
2023-01-26,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
2023-01-27,7,0,8,2,0,1,0,0,29,0,1,0,0,0,0
2023-01-28,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0
2023-01-30,2,0,0,0,1,0,0,0,7,0,0,0,0,0,0
2023-01-31,4,0,4,2,1,0,0,5,31,0,0,0,0,0,2
2023-02-01,0,0,0,0,1,1,0,0,40,0,0,0,0,0,0
2023-02-02,3,0,0,0,0,0,0,0,20,0,0,0,0,0,1
2023-02-03,5,0,0,0,2,0,0,0,16,0,0,0,0,0,2
2023-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-05,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
2023-02-07,4,4,6,1,0,0,0,0,33,0,0,0,0,0,0
2023-02-08,4,0,3,1,0,0,0,0,14,0,0,0,0,0,0
2023-02-09,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0
2023-02-10,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0
2023-02-11,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0
2023-02-13,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2023-02-14,15,0,0,0,0,2,0,0,18,0,0,0,0,0,0
2023-02-15,2,1,0,0,0,0,0,0,20,1,0,0,0,0,0
2023-02-16,8,0,4,3,0,0,0,0,14,2,0,0,0,0,0
2023-02-17,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
2023-02-18,0,1,4,1,0,0,0,0,38,0,0,0,0,0,0
2023-02-19,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
2023-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
